NĂ©v;KategĂłria;Aliasok
"EgyĂ©b termĂ©k/anyag (manuĂˇlis)";"Anyagok Ă©s felszerelĂ©sek";"egyĂ©b anyag|misc material"
"5460-as fogkefe (1 db)";"Anyagok Ă©s felszerelĂ©sek";"Curaprox 5460|ultra puha fogkefe|sensitive fogkefe"
"Curaprox 5460 fogkefe (3 db-os)";"Anyagok Ă©s felszerelĂ©sek";"Curaprox 5460 csomag|fogkefe 3 db"
"EgycsomĂłs fogkefe";"Anyagok Ă©s felszerelĂ©sek";"egycsomĂłs|single tuft|Genius|Curaprox CS 1006"
"SzĂˇjsebĂ©szeti fogkefe";"Anyagok Ă©s felszerelĂ©sek";"posztop fogkefe|surgical toothbrush"
"FogkĂ¶ztisztĂ­tĂł kefe (db)";"Anyagok Ă©s felszerelĂ©sek";"fogkĂ¶ztisztĂ­tĂł|interdental brush|prime"
"FogkĂ¶ztisztĂ­tĂł kefe (5 db + 2 nyĂ©l)";"Anyagok Ă©s felszerelĂ©sek";"fogkĂ¶ztisztĂ­tĂł csomag|prime csomag"
"FogkĂ¶ztisztĂ­tĂł nyĂ©l (fĂ©m)";"Anyagok Ă©s felszerelĂ©sek";"fogkĂ¶ztisztĂ­tĂł nyĂ©l|prime holder|interdental holder"
"Superfloss fogselyem";"Anyagok Ă©s felszerelĂ©sek";"superfloss|implant fogselyem|hĂ­d fogselyem"
"Ultrafloss fogselyem";"Anyagok Ă©s felszerelĂ©sek";"ultrafloss|sĹ±rĹ± fogselyem"
"Fogselyem (gyĂˇri villa)";"Anyagok Ă©s felszerelĂ©sek";"floss villa|fogselyem villa|floss pick"
"PlakkfestĹ‘ tabletta (4 db)";"Anyagok Ă©s felszerelĂ©sek";"plakkfesto 4|disclosing tablet 4"
"PlakkfestĹ‘ tabletta (12 db)";"Anyagok Ă©s felszerelĂ©sek";"plakkfestĹ‘ 12|disclosing tablet 12"
"Curasept Ă¶blĂ¶getĹ‘";"Anyagok Ă©s felszerelĂ©sek";"curasept|CHX szĂˇjvĂ­z|klĂłrhexidin szĂˇjvĂ­z"
"Curasept perio";"Anyagok Ă©s felszerelĂ©sek";"curasept perio|CHX perio Ă¶blĂ¶getĹ‘"
"Curasept implant";"Anyagok Ă©s felszerelĂ©sek";"curasept implant|implantĂˇtum Ă¶blĂ¶getĹ‘"
"Tooth Mousse termĂ©k";"Anyagok Ă©s felszerelĂ©sek";"tooth mousse|MI Paste|CPP-ACP krĂ©m"
"GengigĂ©l";"Anyagok Ă©s felszerelĂ©sek";"gengigel|Ă­ny gel|hyaluronic gel"
"GengigĂ©l Teething";"Anyagok Ă©s felszerelĂ©sek";"gengigel teething|fogzĂˇsi gĂ©l"
"ADS gĂ©l fogkrĂ©m";"Anyagok Ă©s felszerelĂ©sek";"ADS|ADS gĂ©l fogkrĂ©m|sensitivity fogkrĂ©m"
"NyelvtisztĂ­tĂł (2 db)";"Anyagok Ă©s felszerelĂ©sek";"nyelvtisztĂ­tĂł|tongue cleaner"
"SzĂˇjzuhany pĂłtfej";"Anyagok Ă©s felszerelĂ©sek";"szĂˇjzuhany pĂłtfej|waterpik fej|oral irrigator tip"
"Waterpik szĂˇjzuhany (Classic)";"Anyagok Ă©s felszerelĂ©sek";"WP70|waterpik classic|waterpik vezetĂ©kes"
"Waterpik Ultra szĂˇjzuhany";"Anyagok Ă©s felszerelĂ©sek";"waterpik ultra|waterpik felsĹ‘ kategĂłria"
"Waterpik Traveler szĂˇjzuhany";"Anyagok Ă©s felszerelĂ©sek";"waterpik traveler|Ăşti waterpik"
"Waterpik for Kids";"Anyagok Ă©s felszerelĂ©sek";"waterpik for kids|gyermek szĂˇjzuhany"
"Oral-B elektromos fogkefe";"Anyagok Ă©s felszerelĂ©sek";"Oral-B|elektromos fogkefe"
"Oral-B pĂłtfej (4 db-os)";"Anyagok Ă©s felszerelĂ©sek";"Oral-B pĂłtfej csomag|brush head csomag"
"PĂˇciens tĂĽkĂ¶r";"Anyagok Ă©s felszerelĂ©sek";"tĂĽkĂ¶r|kĂ©zi tĂĽkĂ¶r|hand mirror"
"LogopĂ©diai vizsgĂˇlat (elsĹ‘ felmĂ©rĂ©s)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"logopĂ©diai vizsgĂˇlat|logopĂ©dia elsĹ‘|speech assessment"
"LogopĂ©diai kontroll";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"logopĂ©diai kontroll|speech follow-up"
"LogopĂ©diai terĂˇpia (alkalmankĂ©nt)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"logopĂ©diai terĂˇpia|speech therapy"
"LogopĂ©diai terĂˇpia testvĂ©rek (2 fĹ‘)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"logopĂ©dia testvĂ©r|speech therapy siblings"
"MyofunkcionĂˇlis szakvizsgĂˇlat";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"myofunkcionĂˇlis vizsgĂˇlat|MFT|izomfunkciĂł vizsgĂˇlat"
"MyofunkcionĂˇlis tanĂˇcsadĂˇs";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"MFT tanĂˇcsadĂˇs|myo tanĂˇcsadĂˇs"
"MyofunkcionĂˇlis kontroll (szemĂ©lyes)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"myo kontroll|izomfunkciĂł kontroll"
"MyofunkcionĂˇlis kontroll (Skype/Zoom)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"online myo kontroll|tĂˇvkontroll myo"
"Myochew (rĂˇgĂłizom edzĹ‘)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"myochew|chewing trainer"
"Myoclean tisztĂ­tĂłtabletta (12 db / 24 db)";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"myoclean|trainer tisztĂ­tĂł tabletta"
"Myotalea TLJ kĂ©szĂĽlĂ©k";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"myotalea|TLJ"
"RĂˇgĂłizomrelaxĂˇciĂł ergonĂłmiai szaktanĂˇcsadĂˇs";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"rĂˇgĂłizom relaxĂˇciĂł|ergonĂłmia tanĂˇcsadĂˇs"
"ĂŤrĂˇsos Ă¶sszefoglalĂł rĂˇgĂłizom relaxĂˇciĂłhoz";"LogopĂ©dia Ă©s myofunkcionĂˇlis";"rĂˇgĂłizom Ă­rĂˇsos|relaxĂˇciĂł dokumentĂˇciĂł"
"DĂ­jmentes kontroll";"Ă�ltalĂˇnos tĂ©telek";"dĂ­jmentes kontroll|free recall|ingyenes kontroll"
"DĂ­jmentes konzultĂˇciĂł";"Ă�ltalĂˇnos tĂ©telek";"dĂ­jmentes konzultĂˇciĂł|ingyenes konzultĂˇciĂł"
"KĂ©sĹ‘i lemondĂˇsi dĂ­j";"Ă�ltalĂˇnos tĂ©telek";"lemondĂˇsi dĂ­j|no-show dĂ­j|kĂ©sĹ‘i lemondĂˇs"
"KĂ©szenlĂ©ti dĂ­j (30 perc)";"Ă�ltalĂˇnos tĂ©telek";"kĂ©szenlĂ©ti|standby|on-call dĂ­j"
"EgyĂ©b dokumentĂˇciĂł elkĂ©szĂ­tĂ©se pĂˇciens kĂ©rĂ©sĂ©re";"Ă�ltalĂˇnos tĂ©telek";"egyĂ©b dokumentĂˇciĂł|kustom dokumentĂˇciĂł|igazolĂˇs"
"PĂ©nzvisszafizetĂ©s";"Ă�ltalĂˇnos tĂ©telek";"refund|pĂ©nzvisszafizetĂ©s"
"KorĂˇbbi tĂşlfizetĂ©s korrekciĂłja";"Ă�ltalĂˇnos tĂ©telek";"tĂşlfizetĂ©s korrekciĂł|overpayment correction"
"SzĂˇllĂ­tĂˇsi dĂ­j / csomagfeladĂˇs";"Ă�ltalĂˇnos tĂ©telek";"szĂˇllĂ­tĂˇsi dĂ­j|csomagfeladĂˇs|posta dĂ­j"
"EgyĂ©b tĂ©tel (manuĂˇlis)";"Ă�ltalĂˇnos tĂ©telek";"egyĂ©b|other|manuĂˇlis tĂ©tel"
"CsalĂˇdtag kedvezmĂ©ny (20%)";"Ă�ltalĂˇnos tĂ©telek";"csalĂˇdi kedvezmĂ©ny|family discount 20"
"TestvĂ©rkedvezmĂ©ny (50%)";"Ă�ltalĂˇnos tĂ©telek";"testvĂ©r kedvezmĂ©ny|sibling discount 50"
"DolgozĂłi kedvezmĂ©ny (20%)";"Ă�ltalĂˇnos tĂ©telek";"dolgozĂłi kedvezmĂ©ny|staff discount 20"
"Eseti kedvezmĂ©ny (5%)";"Ă�ltalĂˇnos tĂ©telek";"eseti 5|alkalmi kedvezmĂ©ny 5"
"Eseti kedvezmĂ©ny (10%)";"Ă�ltalĂˇnos tĂ©telek";"eseti 10|alkalmi kedvezmĂ©ny 10"
"Eseti kedvezmĂ©ny (20%)";"Ă�ltalĂˇnos tĂ©telek";"eseti 20|alkalmi kedvezmĂ©ny 20"
"Eseti kedvezmĂ©ny (25%)";"Ă�ltalĂˇnos tĂ©telek";"eseti 25|alkalmi kedvezmĂ©ny 25"
"Eseti kedvezmĂ©ny (50%)";"Ă�ltalĂˇnos tĂ©telek";"eseti 50|alkalmi kedvezmĂ©ny 50"
"Eseti kedvezmĂ©ny (100% / tĂ©rĂ­tĂ©smentes)";"Ă�ltalĂˇnos tĂ©telek";"eseti 100|tĂ©rĂ­tĂ©smentes|gesture goodwill"
"Marketing kedvezmĂ©ny (videĂł beleegyezĂ©sĂ©rt)";"Ă�ltalĂˇnos tĂ©telek";"marketing kedvezmĂ©ny|videĂł beleegyezĂ©s kedvezmĂ©ny"
"Lenyomati dĂ­j elĹ‘refizetve";"Ă�ltalĂˇnos tĂ©telek";"lenyomati elĹ‘leg|impression deposit"
"Garancia visszafizetĂ©s (NTI/Silensor stb.)";"Ă�ltalĂˇnos tĂ©telek";"garancia visszafizetĂ©s|warranty refund"
"NOGAG hĂˇnyinger elleni por (5 db)";"Ă�ltalĂˇnos tĂ©telek";"nogag|hĂˇnyinger elleni por|antiemetic powder"
